 12.20   5.45   1.01   1.01   0.01
 15.60   6.15   1.02   1.02   0.03
 19.00   6.85   1.03   1.03   0.05
 22.40   7.55   1.04   1.04   0.07
 25.80   8.25   1.05   1.05   0.09
 29.20   8.95   1.05   1.05   0.12
 32.60   9.65   1.06   1.06   0.14
 36.00  10.35   1.07   1.07   0.16
 39.40  11.05   1.08   1.08   0.18
 42.80  11.75   1.08   1.08   0.20
 12.20   5.45   1.01   1.01   0.21
 15.60   6.15   1.02   1.02   0.27
 19.00   6.85   1.03   1.03   0.34
 22.40   7.55   1.04   1.04   0.40
 25.80   8.25   1.05   1.05   0.47
 29.20   8.95   1.05   1.05   0.53
 32.60   9.65   1.06   1.06   0.60
 36.00  10.35   1.07   1.07   0.66
 39.40  11.05   1.08   1.08   0.73
 42.80  11.75   1.08   1.08   0.79
 12.20   5.45   1.01   1.01   0.80
 15.60   6.15   1.02   1.02   0.82
 19.00   6.85   1.03   1.03   0.84
 22.40   7.55   1.04   1.04   0.86
 25.80   8.25   1.05   1.05   0.88
 29.20   8.95   1.05   1.05   0.91
 32.60   9.65   1.06   1.06   0.93
 36.00  10.35   1.07   1.07   0.95
 39.40  11.05   1.08   1.08   0.97
 42.80  11.75   1.08   1.08   0.99
 12.20   5.45   1.01   1.09   0.01
 15.60   6.15   1.02   1.13   0.03
 19.00   6.85   1.03   1.16   0.05
 22.40   7.55   1.04   1.20   0.07
 25.80   8.25   1.05   1.24   0.09
 29.20   8.95   1.05   1.27   0.12
 32.60   9.65   1.06   1.31   0.14
 36.00  10.35   1.07   1.35   0.16
 39.40  11.05   1.08   1.38   0.18
 42.80  11.75   1.08   1.42   0.20
 12.20   5.45   1.01   1.09   0.21
 15.60   6.15   1.02   1.13   0.27
 19.00   6.85   1.03   1.16   0.34
 22.40   7.55   1.04   1.20   0.40
 25.80   8.25   1.05   1.24   0.47
 29.20   8.95   1.05   1.27   0.53
 32.60   9.65   1.06   1.31   0.60
 36.00  10.35   1.07   1.35   0.66
 39.40  11.05   1.08   1.38   0.73
 42.80  11.75   1.08   1.42   0.79
 12.20   5.45   1.01   1.09   0.80
 15.60   6.15   1.02   1.13   0.82
 19.00   6.85   1.03   1.16   0.84
 22.40   7.55   1.04   1.20   0.86
 25.80   8.25   1.05   1.24   0.88
 29.20   8.95   1.05   1.27   0.91
 32.60   9.65   1.06   1.31   0.93
 36.00  10.35   1.07   1.35   0.95
 39.40  11.05   1.08   1.38   0.97
 42.80  11.75   1.08   1.42   0.99
 12.20   5.45   1.01   1.43   0.01
 15.60   6.15   1.02   1.43   0.03
 19.00   6.85   1.03   1.44   0.05
 22.40   7.55   1.04   1.45   0.07
 25.80   8.25   1.05   1.46   0.09
 29.20   8.95   1.05   1.46   0.12
 32.60   9.65   1.06   1.47   0.14
 36.00  10.35   1.07   1.48   0.16
 39.40  11.05   1.08   1.49   0.18
 42.80  11.75   1.08   1.50   0.20
 12.20   5.45   1.01   1.43   0.21
 15.60   6.15   1.02   1.43   0.27
 19.00   6.85   1.03   1.44   0.34
 22.40   7.55   1.04   1.45   0.40
 25.80   8.25   1.05   1.46   0.47
 29.20   8.95   1.05   1.46   0.53
 32.60   9.65   1.06   1.47   0.60
 36.00  10.35   1.07   1.48   0.66
 39.40  11.05   1.08   1.49   0.73
 42.80  11.75   1.08   1.50   0.79
 12.20   5.45   1.01   1.43   0.80
 15.60   6.15   1.02   1.43   0.82
 19.00   6.85   1.03   1.44   0.84
 22.40   7.55   1.04   1.45   0.86
 25.80   8.25   1.05   1.46   0.88
 29.20   8.95   1.05   1.46   0.91
 32.60   9.65   1.06   1.47   0.93
 36.00  10.35   1.07   1.48   0.95
 39.40  11.05   1.08   1.49   0.97
 42.80  11.75   1.08   1.50   0.99
 12.20   5.45   1.09   1.01   0.01
 15.60   6.15   1.13   1.02   0.03
 19.00   6.85   1.16   1.03   0.05
 22.40   7.55   1.20   1.04   0.07
 25.80   8.25   1.24   1.05   0.09
 29.20   8.95   1.27   1.05   0.12
 32.60   9.65   1.31   1.06   0.14
 36.00  10.35   1.35   1.07   0.16
 39.40  11.05   1.38   1.08   0.18
 42.80  11.75   1.42   1.08   0.20
 12.20   5.45   1.09   1.01   0.21
 15.60   6.15   1.13   1.02   0.27
 19.00   6.85   1.16   1.03   0.34
 22.40   7.55   1.20   1.04   0.40
 25.80   8.25   1.24   1.05   0.47
 29.20   8.95   1.27   1.05   0.53
 32.60   9.65   1.31   1.06   0.60
 36.00  10.35   1.35   1.07   0.66
 39.40  11.05   1.38   1.08   0.73
 42.80  11.75   1.42   1.08   0.79
 12.20   5.45   1.09   1.01   0.80
 15.60   6.15   1.13   1.02   0.82
 19.00   6.85   1.16   1.03   0.84
 22.40   7.55   1.20   1.04   0.86
 25.80   8.25   1.24   1.05   0.88
 29.20   8.95   1.27   1.05   0.91
 32.60   9.65   1.31   1.06   0.93
 36.00  10.35   1.35   1.07   0.95
 39.40  11.05   1.38   1.08   0.97
 42.80  11.75   1.42   1.08   0.99
 12.20   5.45   1.09   1.09   0.01
 15.60   6.15   1.13   1.13   0.03
 19.00   6.85   1.16   1.16   0.05
 22.40   7.55   1.20   1.20   0.07
 25.80   8.25   1.24   1.24   0.09
 29.20   8.95   1.27   1.27   0.12
 32.60   9.65   1.31   1.31   0.14
 36.00  10.35   1.35   1.35   0.16
 39.40  11.05   1.38   1.38   0.18
 42.80  11.75   1.42   1.42   0.20
 12.20   5.45   1.09   1.09   0.21
 15.60   6.15   1.13   1.13   0.27
 19.00   6.85   1.16   1.16   0.34
 22.40   7.55   1.20   1.20   0.40
 25.80   8.25   1.24   1.24   0.47
 29.20   8.95   1.27   1.27   0.53
 32.60   9.65   1.31   1.31   0.60
 36.00  10.35   1.35   1.35   0.66
 39.40  11.05   1.38   1.38   0.73
 42.80  11.75   1.42   1.42   0.79
 12.20   5.45   1.09   1.09   0.80
 15.60   6.15   1.13   1.13   0.82
 19.00   6.85   1.16   1.16   0.84
 22.40   7.55   1.20   1.20   0.86
 25.80   8.25   1.24   1.24   0.88
 29.20   8.95   1.27   1.27   0.91
 32.60   9.65   1.31   1.31   0.93
 36.00  10.35   1.35   1.35   0.95
 39.40  11.05   1.38   1.38   0.97
 42.80  11.75   1.42   1.42   0.99
 12.20   5.45   1.09   1.43   0.01
 15.60   6.15   1.13   1.43   0.03
 19.00   6.85   1.16   1.44   0.05
 22.40   7.55   1.20   1.45   0.07
 25.80   8.25   1.24   1.46   0.09
 29.20   8.95   1.27   1.46   0.12
 32.60   9.65   1.31   1.47   0.14
 36.00  10.35   1.35   1.48   0.16
 39.40  11.05   1.38   1.49   0.18
 42.80  11.75   1.42   1.50   0.20
 12.20   5.45   1.09   1.43   0.21
 15.60   6.15   1.13   1.43   0.27
 19.00   6.85   1.16   1.44   0.34
 22.40   7.55   1.20   1.45   0.40
 25.80   8.25   1.24   1.46   0.47
 29.20   8.95   1.27   1.46   0.53
 32.60   9.65   1.31   1.47   0.60
 36.00  10.35   1.35   1.48   0.66
 39.40  11.05   1.38   1.49   0.73
 42.80  11.75   1.42   1.50   0.79
 12.20   5.45   1.09   1.43   0.80
 15.60   6.15   1.13   1.43   0.82
 19.00   6.85   1.16   1.44   0.84
 22.40   7.55   1.20   1.45   0.86
 25.80   8.25   1.24   1.46   0.88
 29.20   8.95   1.27   1.46   0.91
 32.60   9.65   1.31   1.47   0.93
 36.00  10.35   1.35   1.48   0.95
 39.40  11.05   1.38   1.49   0.97
 42.80  11.75   1.42   1.50   0.99
 12.20   5.45   1.43   1.01   0.01
 15.60   6.15   1.43   1.02   0.03
 19.00   6.85   1.44   1.03   0.05
 22.40   7.55   1.45   1.04   0.07
 25.80   8.25   1.46   1.05   0.09
 29.20   8.95   1.46   1.05   0.12
 32.60   9.65   1.47   1.06   0.14
 36.00  10.35   1.48   1.07   0.16
 39.40  11.05   1.49   1.08   0.18
 42.80  11.75   1.50   1.08   0.20
 12.20   5.45   1.43   1.01   0.21
 15.60   6.15   1.43   1.02   0.27
 19.00   6.85   1.44   1.03   0.34
 22.40   7.55   1.45   1.04   0.40
 25.80   8.25   1.46   1.05   0.47
